"Log Number",Description,"Supplement Indicator",Institution,"Fiscal Year",Program,"Federal Funds","Funding Office",City,State
NAE-254945-OLS-23,"The Wyandotte Nations’ Project BEAR (Books Everywhere to Advance Reading) will expand access to the Wyandotte Nation Library’s services and strengthen community and civic engagement through facilitating a story walk project, Reading Buddies program, and outdoor movie events. The library will purchase a laminator, book covers and book pages, and solar lights for revolving story walks in Bear Park, promoting a connection with nature and offering health benefits. The Reading Buddies program will pair older and younger students to read Sequoyah books together. Additionally, the library will host outdoor movie events based upon a book, season, or native theme to foster community interaction. The project will benefit the 1,819 tribal citizens within their project service area in northeastern Oklahoma.",0,"Wyandotte Nation",2023,"Native American Library Services: Enhancement Grants",$106218,"Office of Library Services",Wyandotte,OK
NAE-254972-OLS-23,"The North Fork Rancheria of Mono Indians of California's Tribal Library staff will address collection care and management by expanding their collection storage and cataloging both the printed and historical research collection into their online library. For example, grant funds will allow staff to work with representatives from the California Historical Society as well as from the Fresno County Historical Society to research and obtain historical accounts, records and published historic records to include in their library. Staff will also launch outreach efforts and issue library cards to encourage tribal citizens to participate in library learning programs, and ensure their access to the current collections. Staff will continue to work on increasing the literacy skills of family members in the community by providing them with access to not only published material, but historical records and firsthand accounts. This includes sharing historical family information so that families have the ability to create a family tree or learn more about their tribal history.",0,"Northfork Rancheria Mono Indians",2023,"Native American Library Services: Enhancement Grants",$115181,"Office of Library Services","North Fork",CA
NAE-254974-OLS-23,"Sealaska Heritage Institute’s “Tlingit Macbeth: Celebrating Indigenous Films project” will allow staff to edit raw footage of the 2007 performance of the play (performed by an all-Native cast and primarily in the Tlingit language), into a feature film to be premiered at Celebration 2024 as the main feature of a Film Festival, then made available to the public on DVD. The project will celebrate and share the unique contributions made by members of the Alaska Native community that worked so hard to create Tlingit Macbeth, and also honor their memory, such as the translator Johnny Marks who has since ‘Walked into the Forest.’ The project will also debut a Juried Film Show component at the Festival, which will highlight Native filmmakers where the winning short films will be presented with an award ceremony. “Tlingit Macbeth: Celebrating Indigenous Films” will address the need for representation of Alaska Native characters, cultures, and languages in contemporary media, but also Alaska Native representation of directors and filmmakers.",0,"Sealaska Corporation",2023,"Native American Library Services: Enhancement Grants",$115083,"Office of Library Services",Juneau,AK
NAE-254954-OLS-23,"The Chilkat Indian Village’s “Reclaiming and Sustaining Our Traditional Knowledge” project will increase culturally relevant and place-based resources and learning opportunities for library patrons by supporting the continuation of haa kustiyee, ‘our way of life’. Project activities include hosting Northwest Coast Arts workshops to increase learning opportunities, filming eight traditional skills demonstrations to expand community-developed resources, as well as facilitating and filming eight panel discussions on special topics relevant to the culture and history of the Chilkat Valley to be accessed by tribal members, Chilkat Valley residents, researchers, and future generations. The produced film content will expand the library’s reach by increasing the opportunities for asynchronous learning, and will be available at the library with physical DVD copies and online streaming access via the Klukwan Digital Archives.",0,"Chilkat Indian Village",2023,"Native American Library Services: Enhancement Grants",$149931,"Office of Library Services",Haines,AK
NAE-254963-OLS-23,"The Ak-Chin Indian Community (ACIC) library in Maricopa, Arizona, will create a year-round reading tutoring program, fulfilling a key community need, as there currently are no established reading tutoring programs within the Ak-Chin Indian Community. Grant funds will also be used to purchase a passenger van to transport students to and from the library. This will enable core library users of children 10 years and under to participate in library programs because although ACIC has a tribal transit service, they cannot ride alone on the transit bus. Funds will support salaries for Reading Tutors, who will facilitate a Buddy’s Reading Circle program focused on teaching phonemic awareness, phonics, fluency, vocabulary, and comprehension, including assessments of the student’s reading levels. Funds will also support purchasing books for the library. The project will benefit Ak-Chin Indian Community students in grades first through fifth grade and their families.",0,"Ak-Chin Indian Community",2023,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services",Maricopa,AZ
NAE-254966-OLS-23,"The Bad River Band of Lake Superior Tribe of Chippewa Indians in Odanah, Wisconsin will provide educational opportunities including a K-5 summer reading challenge, and teen and adult book and writing clubs to enhance literacy skills. The project was shaped by a needs survey conducted and led by the Tribe's Education Director and Library Coordinator. Grant funds will support full-time hours for the Library Coordinator which is essential for implementing programs. Grant funds will support travel for Indigenous author visits for readings at the library. The project will also fund a Summer Reading program, including art and outdoor activities related to children’s books. The project will benefit the Bad River Band Tribal community, particularly youth (grades K-5) and young adults.",0,"Bad River Band of Lake Superior Tribe of Chippewa Indians",2023,"Native American Library Services: Enhancement Grants",$149755,"Office of Library Services",Odanah,WI
NAE-254950-OLS-23,"The Kickapoo Tribe of Oklahoma’s (KTO) “Kickapoo Language and Culture Project” will preserve and promote their cultural and linguistic literacy by increasing the number of language and cultural classes held in the library, as well as providing patrons with access to various language resources, government documents, books, music, CDs, and cassettes. Project activities include preserving and digitizing their people's historical and ethnographic records Grant funds will support and enhance the All Nations Youth Council after-school programs, and summer youth language and cultural programs to strengthen literacy skills within the community. Funds will also be used towards creating a digital media Kickapoo portal and curriculum for education and literacy workshops for the community members.",0,"Kickapoo Tribe of Oklahoma",2023,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services",McLoud,OK
NAE-254948-OLS-23,"The Chippewa Cree Tribe of The Rocky Boy Reservation will improve access to the Stone Child College/Rocky Boy Community Library’s resources and promote preservation of the Chippewa Cree culture. Notably, the Rocky Boy’s Indian Reservation is the only reservation in the United States that speaks Cree. The project was informed by strategic planning and community survey responses to improve the library’s services. The grant will support twelve community events, with topics such as typing and writing in Cree, storytelling, native plants of Rocky Boy. Additionally, two one-day workshops with local artists and craftsmen on two of the following topics will be offered: ribbon shirts/ribbon skirts, crockpot meals, painting workshop, dry meat making, or a historical tour of Rocky Boy. Grant funds will support the purchase of archival supplies, periodicals, and subscriptions. The grant will also support Lyrasis DSpaceDirect Hosting Platform renewal to store digital archived items. The project will benefit the community members of the Rocky Boy Indian Reservation.",0,"Chippewa Cree Tribe",2023,"Native American Library Services: Enhancement Grants",$106548,"Office of Library Services","Box Elder",MT
NAE-254969-OLS-23,"The Nez Perce Tribe will use grant funds to support the library director position for their new “Hite’emenwees”, Nez Perce Tribe Reading and Research Library, which will enable expanded outreach efforts to inform the reservation communities and public at large. There is a recognized need to expand outreach to the other two cities on the Nez Perce Reservation with the highest Native American populations, in order to inform residents of those communities about the new library and to encourage their patronage. Funds will also be used towards adding collection materials for reading and research, obtaining iPads for patron checkout, and establishing monthly community programs in order to increase public interest and support for the library while fostering multicultural engagement and learning.",0,"Nez Perce Tribe",2023,"Native American Library Services: Enhancement Grants",$108272,"Office of Library Services",Lapwai,ID
NAE-254946-OLS-23,"The Sisseton-Wahpeton Oyate (people) of the Lake Traverse Reservation’s Sisseton Wahpeton College (SWC) Wowapi Opahi Oyanke (WOO) Public Library & Archives will build community through the enhancement of their library staff via hands-on training in research methodology, the implementation of cultural programming with culture & language fun night, the acquisition of new materials, and monthly health awareness promotions. Grant funds will not only increase capacity for the future growth of the library but will maintain library community programming services and improve assessment of its growth as well. Funds will also be used towards the hiring of a new librarian and the training of WOO staff in the day-to-day programming and operations of a community library. Funds will cultivate youth interest in the language and culture of the Sisseton Wahpeton Oyate in connecting elders with student learner and apprentices via monthly Dakota Iapi Voices of Our Ancestors (VOA) programming.",0,"Sisseton-Wahpeton Oyate",2023,"Native American Library Services: Enhancement Grants",$149880,"Office of Library Services","Agency Village",SD
