"Log Number",Description,"Supplement Indicator",Institution,"Fiscal Year",Program,"Federal Funds","Funding Office",City,State
NAB-253728-OLS-23,"The Unalaska Public Library will purchase approximately 150 new books and reference materials, including media and four sets of local newspaper microfilm that detail the history and ethnography of the region for all visitors of their library which sits in the most populated area of the Aleutian Islands. Materials will also be made available to other Alaskan communities through interlibrary loan. The addition of new and popular materials to the library that include Aleutian and Alaskan materials will directly benefit Ounalashka Corporation shareholders, as well as the rest of the community in southeast Alaska.",0,"Ounalashka Corporation",2023,"Native American Library Services: Basic Grants",$6000,"Office of Library Services",Unalaska,AK
NAB-253731-OLS-23,"Sealaska Corporation's, Sealaska Heritage Institute (SHI) will preserve, enhance and provide access to its collection of materials for the Native and non-Native public in support of education and research relating to the Tlingit, Haida and Tsimshian cultures. Funding will also be used to purchase new books and publications about culture, history, and language.  Funds will also be used to maintain professional memberships, such as the Alaska Historical Society and the Association of Tribal Archives, Libraries, and Museums.  Sealaska views SHI as vital to preserving traditional knowledge and encouraging studies of Southeast Alaska Native heritage.",0,"Sealaska Corporation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Juneau,AK
NAB-253765-OLS-23,"The Pauma AA’Alvikat Library will purchase new books and eBooks as well as help to cover the cost of fringe benefits for a newly hired library technician who will work to maintain the online catalog and archives project. The Pauma band sees an opportunity to expand the scope and reach of the AA’Alvikat Library through a multiyear focus called the “Living Library Project”. The project will engage tribal members and leaders in activities that promote a deeper understanding of history and place, facilitate intergenerational communication, apply traditional knowledge, and encourage physical and emotional wellbeing. The library will focus on combining past efforts to engage with tribal and community members online, with the already existing in-person communication systems, to build the library’s presence in the daily lives of tribal members and those beyond the reservation.",0,"Pauma Band of Mission Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Pauma Valley",CA
NAB-253784-OLS-23,"The Tolowa Dee-ni’ Nation will focus on offering a modern traditional and digital library lending service, through the Tolowa Dee-ni’ Nation’s Tribal Employment Rights Office. The Tolowa Dee-ni’ Nation will build a catalogue of literature focusing on general goal setting, job seeking and inspirational content, as well as specific trade, skills, and industry literature. These titles will all be available in a TERO specific library that will be available for Tolowa Dee-ni’ Nation Citizens, as well as other TERO qualified Native Americans, to provide access, support, and resources for Natives to use to improve their skills, enhance their knowledge, and be competitive it he workforce.",0,"Tolowa Dee-ni Nation",2023,"Native American Library Services: Basic Grants",$9500,"Office of Library Services","Smith River",CA
NAB-254807-OLS-23,"The Pueblo of Isleta Library will transition part-time staff to full-time to support its existing in-person summer reading program by maintaining a sufficient adult to student ratio. The program will be organized into two six-week programs, one for children ages 3 to 6 and one youth ages 7 to 18. Activities include developing new curriculums, taking field trips, and conducting an evaluation at the end of the program. Funds will also be used to continue development of its library app that will simplify communication with patrons, making it easier to promote services and programs and broadly share information on collections. The project will provide direct benefit to the tribal citizens of all ages within its project service area.",0,"Pueblo of Isleta",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Isleta,NM
NAB-253726-OLS-23,"The Ben Guthrie Lac du Flambeau Public Library will utilize funding to expand their Ojibwemown (Ojibwe language) classes. The classes, held at the library, allow participants to learn Ojibwe and access the library's resources that improve literacy and support workforce development. Funding will allow the library to work with a community elder as teacher to build an experience that focuses on a full Ojibwemowin immersion with other Ojibwe speakers. In addition, the library will purchase two computers, supplies, books, materials and support their library workforce to attend a skill-enhancing professional development national conference to help strengthen the library services. The project will provide direct benefit to tribal citizens, youth to elders, within its project service area.",0,"Lac du Flambeau Band of Lake Superior Chippewa Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Lac du Flambeau",WI
NAB-253684-OLS-23,"The Taytsugeh Oweengeh library, located within the Pueblo of Tesuque, New Mexico, will purchase materials for arts & crafts, STEM, reading, and cultural programming to support its existing operations and maintain core library services for its community. It will also fund a part-time library aide position to ensure consistent hours of operation, providing users with greater access to the library’s resources such as Wi-Fi, study rooms, and early literacy computer stations featuring educational software with subject areas including math, reading, writing, science, music, art, history, and language. The library will also strengthen and expand its collection through purchasing books, DVDs, and magazines. The project will provide direct benefit to tribal citizens and the Tesuque Pueblo community within its project service area.",0,"Pueblo of Tesuque",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Santa Fe",NM
NAB-253789-OLS-23,"The Acoma Learning Center strives to provide adequate services to improve and enrich the lives its library users through information, education, tradition, and recreation. The Acoma Learning Center seeks to develop and implement a plan to raise awareness and knowledge of its services to achieve and maintain a status of a “full public library” in accordance with the guidance of the State Library of New Mexico. Activities for the center include partnering with schools to meet the curriculum needs of the Haak’u Community Academy; building an eSport afterschool gaming program; and an effort to promote use of the center’s e-book collection. These efforts will help improve core library services for their community and improve services for learning and accessing information.",0,"Pueble of Acoma",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Pueblo of Acoma",NM
NAB-253804-OLS-23,"The Hoh Indian Tribe will use this project to educate and cultivate a staff of library professionals; build and deliver fair and accessible learning opportunities; and strengthen its key partners to address community needs such as healthcare information access, economic growth, and employment support. This project is based on the main goal of promote inclusive engagement across its community. This project seeks to ensure that every library employee receives current, relevant, and effective education, training, and development in order to deliver the highest level of expertise and quality services within a changing digital and technology landscape.",0,"Hoh Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Forks,WA
NAB-253809-OLS-23,"The Lower Elwha Tribal Community will purchase books, periodicals, software, and supplies to support its existing operations and to maintain core library services for its community. The library will remain open for patrons, Monday through Friday, and will offer some evening hours as well. It will continue to reserve afternoons for its After School Program for elementary-aged students to finish their homework, read, use computers for research, learn games, and have a nutritious snack. The library will also support travel for its librarian to skill-enhancing professional development meetings and conferences. The project will provide direct benefit to the members of the Lower Elwha Klallam Tribe.",0,"Lower Elwha Klallam Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Port Angeles",WA
