Tribe Name,Applied to Basic Grant?,Years applied to Basic Grant,Applied to Enhancement Grant?,Years applied to Enhancement Grant,2023 Basic Grant,2022 Basic Grant,2021 Basic Grant,2020 Basic Grant,2019 Basic Grant,2018 Basic Grant,2023 Enhancement Grant,2022 Enhancement Grant,2021 Enhancement Grant,2020 Enhancement Grant,2019 Enhancement Grant,2018 Enhancement Grant,# of Applications to Basic Grant,# of Applications to Enhancement Grant,Can Apply in 2024
Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,True, 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 1999 1998,True, 2021 2018 2016 2014 2011 2009 2007 2005 2003 2002 1999,True,True,True,True,True,True,False,False,True,False,False,True,25,11,True
Keweenaw Bay Indian Community,True, 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 1999 1998,True, 2022 2020 2017 2015 2012 2010 2008 2003 2002,True,True,True,True,True,True,False,True,False,True,False,False,25,9,True
Jamestown S'Klallam Tribe,True, 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 1999 1998,True, 2019 2011 2009,True,True,True,True,True,True,False,False,False,False,True,False,25,3,True
Bay Mills Indian Community,True, 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 1999,True, 2015 2010,True,True,True,True,True,True,False,False,False,False,False,False,24,2,True
Arctic Slope Regional Corporation,True, 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 1999,True, 2007 2006 2004 2002 2001 1999,True,True,True,True,True,True,False,False,False,False,False,False,24,6,True
Native Village of Cantwell,True, 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 1999,False,,True,True,True,True,True,True,False,False,False,False,False,False,24,0,True
Pueblo of Pojoaque,True, 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 1998,True, 2019 2009 2007,True,True,True,True,True,True,False,False,False,False,True,False,24,3,True
Makah Indian Tribe,True, 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001,True, 2022 2020 2018 2016 2014 2013 2010 2009 2008 2005,True,True,True,True,True,True,False,True,False,True,False,True,23,10,True
Lower Elwha Klallam Tribe,True, 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 1999 1998,True, 2007,True,True,True,True,True,True,False,False,False,False,False,False,24,1,True
Eastern Shawnee Tribe of Oklahoma,True, 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 1999 1998,True, 2020 2018,True,True,True,True,True,True,False,False,False,True,False,True,24,2,True
