Tribe Name,Applied to Basic Grant?,Years applied to Basic Grant,Applied to Enhancement Grant?,Years applied to Enhancement Grant,2023 Basic Grant,2022 Basic Grant,2021 Basic Grant,2020 Basic Grant,2019 Basic Grant,2018 Basic Grant,2023 Enhancement Grant,2022 Enhancement Grant,2021 Enhancement Grant,2020 Enhancement Grant,2019 Enhancement Grant,2018 Enhancement Grant,# of Applications to Basic Grant,# of Applications to Enhancement Grant,Can Apply in 2023
Jamestown S'Klallam Tribe,True,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 1999, 1998",False,"2019, 2011, 2009",False,True,True,True,True,True,False,False,False,False,True,False,24,3,True
Samish Indian Nation,True,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 1999, 1998",False,,False,True,True,True,True,True,False,False,False,False,False,False,24,0,True
Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,True,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 1999, 1998",False,"2021, 2018, 2016, 2014, 2011, 2009, 2007, 2005, 2003, 2002, 1999",False,True,True,True,True,True,False,False,True,False,False,True,24,11,True
Kaw Nation,True,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 1999, 1998",False,"2017, 2010",False,True,True,True,True,True,False,False,False,False,False,False,24,2,True
Crow Tribe of Indians,True,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 1999, 1998",False,"2018, 2015, 2011, 2006, 1999",False,True,True,True,True,True,False,False,False,False,False,True,24,5,True
Wyandotte Nation,True,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 1999, 1998",False,"2021, 2019, 2017, 2014",False,True,True,True,True,True,False,False,True,False,True,False,24,4,True
Bay Mills Indian Community,True,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 1999",False,"2015, 2010",False,True,True,True,True,True,False,False,False,False,False,False,23,2,True
Native Village of Cantwell,True,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 1999",False,,False,True,True,True,True,True,False,False,False,False,False,False,23,0,True
Arctic Slope Regional Corporation,True,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 1999",False,"2007, 2006, 2004, 2002, 2001, 1999",False,True,True,True,True,True,False,False,False,False,False,False,23,6,True
Pueblo of Pojoaque,True,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 1998",False,"2019, 2009, 2007",False,True,True,True,True,True,False,False,False,False,True,False,23,3,True
